"time","Equinor","Equinor( volume )"
"2020-12-04 16:26","148.25",""
"2020-12-07 09:00","148.35","97407"
"2020-12-07 09:01","148.45","8710"
"2020-12-07 09:02","148.3","5744"
"2020-12-07 09:03","148.7","6102"
"2020-12-07 09:04","148.6","23109"
"2020-12-07 09:05","148.25","7658"
"2020-12-07 09:06","148.55","6020"
"2020-12-07 09:07","148.55","1676"
"2020-12-07 09:08","148.7","4621"
"2020-12-07 09:09","148.55","6989"
"2020-12-07 09:10","148.45","17776"
"2020-12-07 09:11","148.25","5721"
"2020-12-07 09:12","148.35","10598"
"2020-12-07 09:13","148.3","6308"
"2020-12-07 09:14","148.2","10603"
"2020-12-07 09:15","148.1","6202"
"2020-12-07 09:16","148.4","7515"
"2020-12-07 09:17","148.4","903"
"2020-12-07 09:18","148.25","7939"
"2020-12-07 09:19","148.35","1981"
"2020-12-07 09:20","148.1","5648"
"2020-12-07 09:21","148.3","15025"
"2020-12-07 09:22","148.3","5331"
"2020-12-07 09:23","148.1","6474"
"2020-12-07 09:24","147.7","6458"
"2020-12-07 09:25","147.65","7671"
"2020-12-07 09:26","147.6","2888"
"2020-12-07 09:27","147.9","5348"
"2020-12-07 09:28","147.8","2228"
"2020-12-07 09:29","148","5179"
"2020-12-07 09:30","147.95","4112"
"2020-12-07 09:31","148.05","487"
"2020-12-07 09:32","148.1","3359"
"2020-12-07 09:33","148","1764"
"2020-12-07 09:34","148.05","2875"
"2020-12-07 09:35","148.05","1638"
"2020-12-07 09:36","148","2679"
"2020-12-07 09:37","148","2908"
"2020-12-07 09:38","148.05","998"
"2020-12-07 09:39","148.3","5847"
"2020-12-07 09:41","148.1","1877"
"2020-12-07 09:42","148","709"
"2020-12-07 09:43","147.8","3928"
"2020-12-07 09:44","147.6","2326"
"2020-12-07 09:45","147.8","1289"
"2020-12-07 09:46","147.95","4318"
"2020-12-07 09:47","147.95","1321"
"2020-12-07 09:48","148.1","2734"
"2020-12-07 09:49","148.1","214"
"2020-12-07 09:50","148.05","2595"
"2020-12-07 09:51","148","634"
"2020-12-07 09:52","147.95","2656"
"2020-12-07 09:53","147.95","25"
"2020-12-07 09:54","148","1408"
"2020-12-07 09:55","148.05","2741"
"2020-12-07 09:56","148.05","3489"
"2020-12-07 09:57","147.95","2833"
"2020-12-07 09:58","148.05","500"
"2020-12-07 09:59","147.95","8092"
"2020-12-07 10:00","147.95","1777"
"2020-12-07 10:01","148","2962"
"2020-12-07 10:02","147.85","8514"
"2020-12-07 10:03","147.85","446"
"2020-12-07 10:04","147.75","2504"
"2020-12-07 10:05","147.6","1598"
"2020-12-07 10:06","147.55","1040"
"2020-12-07 10:07","147.6","3951"
"2020-12-07 10:08","147.6","7819"
"2020-12-07 10:10","147.75","1455"
"2020-12-07 10:11","147.85","2922"
"2020-12-07 10:12","147.7","1557"
"2020-12-07 10:13","147.7","295"
"2020-12-07 10:14","147.7","1203"
"2020-12-07 10:15","147.7","231"
"2020-12-07 10:16","147.65","5744"
"2020-12-07 10:17","147.7","1848"
"2020-12-07 10:18","147.7","100"
"2020-12-07 10:19","147.6","1803"
"2020-12-07 10:20","147.65","1307"
"2020-12-07 10:21","147.7","2241"
"2020-12-07 10:22","147.75","366"
"2020-12-07 10:23","147.7","4544"
"2020-12-07 10:24","147.7","4677"
"2020-12-07 10:25","147.75","4468"
"2020-12-07 10:26","147.85","7315"
"2020-12-07 10:27","147.9","3839"
"2020-12-07 10:28","147.8","10"
"2020-12-07 10:29","147.75","3639"
"2020-12-07 10:30","147.8","2085"
"2020-12-07 10:31","147.95","6401"
"2020-12-07 10:32","148","3120"
"2020-12-07 10:33","148","1563"
"2020-12-07 10:34","147.9","3723"
"2020-12-07 10:35","148","5594"
"2020-12-07 10:37","147.95","3027"
"2020-12-07 10:39","147.8","854"
"2020-12-07 10:40","147.8","41"
"2020-12-07 10:41","147.8","1457"
"2020-12-07 10:42","147.9","2374"
"2020-12-07 10:44","147.9","349"
"2020-12-07 10:46","147.95","500"
"2020-12-07 10:47","147.9","100"
"2020-12-07 10:48","147.85","2778"
"2020-12-07 10:49","147.9","2137"
"2020-12-07 10:50","148.1","1915"
"2020-12-07 10:51","148","2532"
"2020-12-07 10:52","148.05","10029"
"2020-12-07 10:53","147.95","347"
"2020-12-07 10:54","147.85","1700"
"2020-12-07 10:56","147.95","4829"
"2020-12-07 10:59","147.9","1583"
"2020-12-07 11:00","147.9","571"
"2020-12-07 11:02","147.85","250"
"2020-12-07 11:03","147.8","2912"
"2020-12-07 11:04","147.8","2436"
"2020-12-07 11:06","147.85","859"
"2020-12-07 11:07","147.9","4582"
"2020-12-07 11:08","147.85","1221"
"2020-12-07 11:09","147.85","1041"
"2020-12-07 11:10","147.8","286"
"2020-12-07 11:11","147.85","1161"
"2020-12-07 11:12","147.8","4816"
"2020-12-07 11:13","147.8","1110"
"2020-12-07 11:14","147.8","1502"
"2020-12-07 11:15","147.8","2196"
"2020-12-07 11:16","147.8","477"
"2020-12-07 11:17","147.8","50"
"2020-12-07 11:18","147.75","5444"
"2020-12-07 11:19","147.75","130"
"2020-12-07 11:20","147.75","3230"
"2020-12-07 11:21","147.75","650"
"2020-12-07 11:22","147.6","1890"
"2020-12-07 11:23","147.4","3032"
"2020-12-07 11:24","147.4","2159"
"2020-12-07 11:25","147.5","2345"
"2020-12-07 11:26","147.55","964"
"2020-12-07 11:27","147.6","6871"
"2020-12-07 11:28","147.6","1600"
"2020-12-07 11:29","147.5","374"
"2020-12-07 11:30","147.4","3628"
"2020-12-07 11:31","147.35","837"
"2020-12-07 11:32","147.2","2000"
"2020-12-07 11:33","147.2","5255"
"2020-12-07 11:34","147.35","2815"
"2020-12-07 11:35","147.3","1722"
"2020-12-07 11:36","147.35","1664"
"2020-12-07 11:37","147.35","400"
"2020-12-07 11:38","147.4","2337"
"2020-12-07 11:39","147.35","99"
"2020-12-07 11:40","147.35","103"
"2020-12-07 11:41","147.3","1172"
"2020-12-07 11:42","147.25","2563"
"2020-12-07 11:43","147.3","2754"
"2020-12-07 11:44","146.9","23590"
"2020-12-07 11:45","147.05","6400"
"2020-12-07 11:46","147.1","1200"
"2020-12-07 11:47","147.1","2221"
"2020-12-07 11:48","147.15","250"
"2020-12-07 11:49","147.25","2189"
"2020-12-07 11:50","147.35","1795"
"2020-12-07 11:51","147.35","844"
"2020-12-07 11:52","147.3","974"
"2020-12-07 11:53","147.3","2011"
"2020-12-07 11:54","147.1","1481"
"2020-12-07 11:55","147.05","104"
"2020-12-07 11:56","147.1","1598"
"2020-12-07 11:58","147.05","695"
"2020-12-07 11:59","147","632"
"2020-12-07 12:00","147","2632"
"2020-12-07 12:02","147.05","2293"
"2020-12-07 12:03","147.15","3032"
"2020-12-07 12:04","147.3","2130"
"2020-12-07 12:05","147.25","2082"
"2020-12-07 12:06","147.15","3272"
"2020-12-07 12:07","147.15","1305"
"2020-12-07 12:09","147.2","179"
"2020-12-07 12:10","147.15","404"
"2020-12-07 12:11","147.15","695"
"2020-12-07 12:12","147.15","1050"
"2020-12-07 12:13","147.15","995"
"2020-12-07 12:14","147.2","4201"
"2020-12-07 12:15","147.25","500"
"2020-12-07 12:16","147.2","3434"
"2020-12-07 12:17","147.15","1012"
"2020-12-07 12:18","147.15","1207"
"2020-12-07 12:19","147.1","2302"
"2020-12-07 12:20","147.1","2019"
"2020-12-07 12:21","147.1","2179"
"2020-12-07 12:22","147.05","349"
"2020-12-07 12:23","147.05","2387"
"2020-12-07 12:24","147","940"
"2020-12-07 12:25","147.15","1238"
"2020-12-07 12:26","147.1","3102"
"2020-12-07 12:27","147.05","1765"
"2020-12-07 12:28","147.15","2204"
"2020-12-07 12:29","147.15","1000"
"2020-12-07 12:30","147.15","1000"
"2020-12-07 12:31","147.15","200"
"2020-12-07 12:32","147.2","3830"
"2020-12-07 12:33","147.15","746"
"2020-12-07 12:34","147.2","1929"
"2020-12-07 12:35","147.35","1529"
"2020-12-07 12:36","147.4","3036"
"2020-12-07 12:37","147.4","66"
"2020-12-07 12:38","147.45","4760"
"2020-12-07 12:39","147.25","3154"
"2020-12-07 12:40","147.35","1814"
"2020-12-07 12:41","147.35","2211"
"2020-12-07 12:42","147.35","2213"
"2020-12-07 12:43","147.3","135"
"2020-12-07 12:44","147.3","2535"
"2020-12-07 12:45","147.4","3308"
"2020-12-07 12:46","147.4","817"
"2020-12-07 12:47","147.4","2"
"2020-12-07 12:48","147.6","6599"
"2020-12-07 12:50","147.6","1810"
"2020-12-07 12:52","147.55","645"
"2020-12-07 12:53","147.55","1054"
"2020-12-07 12:54","147.55","487"
"2020-12-07 12:55","147.45","1649"
"2020-12-07 12:56","147.45","1342"
"2020-12-07 12:57","147.4","3090"
"2020-12-07 12:58","147.35","2291"
"2020-12-07 13:00","147.35","278"
"2020-12-07 13:01","147.4","9375"
"2020-12-07 13:02","147.45","50"
"2020-12-07 13:04","147.5","5105"
"2020-12-07 13:05","147.45","1911"
"2020-12-07 13:06","147.45","8313"
"2020-12-07 13:07","147.4","2723"
"2020-12-07 13:08","147.35","2500"
"2020-12-07 13:11","147.4","1983"
"2020-12-07 13:13","147.25","983"
"2020-12-07 13:14","147.3","599"
"2020-12-07 13:15","147.3","529"
"2020-12-07 13:16","147.4","2308"
"2020-12-07 13:18","147.45","1350"
"2020-12-07 13:20","147.5","880"
"2020-12-07 13:21","147.5","250"
"2020-12-07 13:22","147.45","1014"
"2020-12-07 13:23","147.4","819"
"2020-12-07 13:24","147.45","74"
"2020-12-07 13:25","147.45","8634"
"2020-12-07 13:26","147.45","10"
"2020-12-07 13:27","147.3","1412"
"2020-12-07 13:29","147.45","3070"
"2020-12-07 13:30","147.6","2777"
"2020-12-07 13:31","147.65","50"
"2020-12-07 13:32","147.75","3145"
"2020-12-07 13:33","147.75","3017"
"2020-12-07 13:34","147.75","32"
"2020-12-07 13:35","147.75","4474"
"2020-12-07 13:37","147.7","2805"
"2020-12-07 13:38","147.7","53"
"2020-12-07 13:39","147.6","1763"
"2020-12-07 13:40","147.55","2762"
"2020-12-07 13:41","147.45","2525"
"2020-12-07 13:42","147.4","2722"
"2020-12-07 13:43","147.4","1097"
"2020-12-07 13:44","147.3","4581"
"2020-12-07 13:45","147.15","2369"
"2020-12-07 13:46","147.25","1396"
"2020-12-07 13:47","147.3","3849"
"2020-12-07 13:48","147.25","1532"
"2020-12-07 13:49","147.25","1183"
"2020-12-07 13:50","147.3","1310"
"2020-12-07 13:51","147.3","2215"
"2020-12-07 13:52","147.3","255"
"2020-12-07 13:53","147.35","1476"
"2020-12-07 13:54","147.35","1740"
"2020-12-07 13:55","147.35","349"
"2020-12-07 13:57","147.4","1944"
"2020-12-07 13:58","147.35","3248"
"2020-12-07 13:59","147.35","3964"
"2020-12-07 14:00","147.25","8301"
"2020-12-07 14:01","147.25","145"
"2020-12-07 14:02","147.3","3177"
"2020-12-07 14:03","147.35","1694"
"2020-12-07 14:04","147.35","1255"
"2020-12-07 14:05","147.35","195"
"2020-12-07 14:07","147.25","2863"
"2020-12-07 14:08","147.25","2678"
"2020-12-07 14:09","147.25","860"
"2020-12-07 14:10","147.2","1999"
"2020-12-07 14:11","147.2","1427"
"2020-12-07 14:12","147.2","1835"
"2020-12-07 14:13","147.15","1918"
"2020-12-07 14:14","147.05","1579"
"2020-12-07 14:15","147.1","5925"
"2020-12-07 14:16","147.15","1841"
"2020-12-07 14:17","147.15","1762"
"2020-12-07 14:18","147.15","2083"
"2020-12-07 14:20","147.2","3036"
"2020-12-07 14:21","147.1","1998"
"2020-12-07 14:22","147.2","930"
"2020-12-07 14:23","147.25","500"
"2020-12-07 14:26","147.25","3151"
"2020-12-07 14:27","147.2","3709"
"2020-12-07 14:28","147.25","1397"
"2020-12-07 14:29","147.25","657"
"2020-12-07 14:30","147.1","5358"
"2020-12-07 14:31","147.05","246"
"2020-12-07 14:32","147.05","3454"
"2020-12-07 14:33","147.05","20"
"2020-12-07 14:34","147.05","2041"
"2020-12-07 14:35","146.95","2790"
"2020-12-07 14:36","146.9","342"
"2020-12-07 14:37","146.85","1074"
"2020-12-07 14:38","146.75","3202"
"2020-12-07 14:39","146.9","1569"
"2020-12-07 14:40","147.05","4345"
"2020-12-07 14:41","147.05","2886"
"2020-12-07 14:42","147","1284"
"2020-12-07 14:44","147","568"
"2020-12-07 14:46","147","5538"
"2020-12-07 14:47","146.9","2019"
"2020-12-07 14:48","146.9","6400"
"2020-12-07 14:49","146.95","973"
"2020-12-07 14:50","146.95","664"
"2020-12-07 14:52","146.95","2148"
"2020-12-07 14:54","146.95","216"
"2020-12-07 14:55","146.9","876"
"2020-12-07 14:56","146.85","1721"
"2020-12-07 14:57","146.9","526"
"2020-12-07 14:58","146.95","363"
"2020-12-07 14:59","146.9","37"
"2020-12-07 15:00","146.9","3407"
"2020-12-07 15:01","146.95","70"
"2020-12-07 15:03","146.9","3332"
"2020-12-07 15:04","146.95","1985"
"2020-12-07 15:05","147.1","2906"
"2020-12-07 15:06","147.05","4794"
"2020-12-07 15:07","147.05","4500"
"2020-12-07 15:09","147.05","954"
"2020-12-07 15:10","147.05","1462"
"2020-12-07 15:11","147","1449"
"2020-12-07 15:12","146.95","1226"
"2020-12-07 15:13","146.95","649"
"2020-12-07 15:14","146.95","1958"
"2020-12-07 15:15","146.95","449"
"2020-12-07 15:16","147","529"
"2020-12-07 15:17","146.95","1620"
"2020-12-07 15:18","146.95","472"
"2020-12-07 15:19","146.9","287"
"2020-12-07 15:22","146.85","1509"
"2020-12-07 15:23","146.85","2727"
"2020-12-07 15:24","146.85","300"
"2020-12-07 15:25","146.75","6854"
"2020-12-07 15:26","146.75","8137"
"2020-12-07 15:27","146.8","2663"
"2020-12-07 15:28","146.8","5118"
"2020-12-07 15:29","146.55","7209"
"2020-12-07 15:30","146","95723"
"2020-12-07 15:31","145.75","25083"
"2020-12-07 15:32","145.65","12167"
"2020-12-07 15:33","145.45","29582"
"2020-12-07 15:34","145.2","8417"
"2020-12-07 15:35","145.3","17071"
"2020-12-07 15:36","145.35","21821"
"2020-12-07 15:37","145.3","25211"
"2020-12-07 15:38","145.3","23189"
"2020-12-07 15:39","144.75","63444"
"2020-12-07 15:40","145","10109"
"2020-12-07 15:41","145","9874"
"2020-12-07 15:42","145.05","11173"
"2020-12-07 15:43","144.95","6531"
"2020-12-07 15:44","145.3","9861"
"2020-12-07 15:45","145.2","7707"
"2020-12-07 15:46","145.25","1728"
"2020-12-07 15:47","145.15","9059"
"2020-12-07 15:48","145.4","3787"
"2020-12-07 15:49","145.25","5827"
"2020-12-07 15:50","145.45","11910"
"2020-12-07 15:51","145.35","5302"
"2020-12-07 15:52","145.3","6502"
"2020-12-07 15:53","145.35","256"
"2020-12-07 15:54","145.2","12661"
"2020-12-07 15:55","145.15","11467"
"2020-12-07 15:56","145.3","14721"
"2020-12-07 15:57","145.4","4496"
"2020-12-07 15:58","145.55","10425"
"2020-12-07 15:59","145.6","10621"
"2020-12-07 16:00","145.8","9139"
"2020-12-07 16:01","145.55","3406"
"2020-12-07 16:02","145.5","10069"
"2020-12-07 16:03","145.35","13569"
"2020-12-07 16:04","145.2","5906"
"2020-12-07 16:05","145.15","5734"
"2020-12-07 16:06","145.25","1407"
"2020-12-07 16:07","145.45","2605"
"2020-12-07 16:08","145.45","11549"
"2020-12-07 16:09","145.55","9338"
"2020-12-07 16:10","145.65","10164"
"2020-12-07 16:11","145.7","5034"
"2020-12-07 16:12","145.75","17733"
"2020-12-07 16:13","145.75","4100"
"2020-12-07 16:14","145.65","12666"
"2020-12-07 16:15","145.75","20132"
"2020-12-07 16:16","145.65","7559"
"2020-12-07 16:17","145.8","5594"
"2020-12-07 16:18","145.65","11288"
"2020-12-07 16:19","145.4","11500"
"2020-12-07 16:25","145.75","993813"
"2020-12-07 16:27","145.75","49495"
"2020-12-08 09:00","145.45","76038"
"2020-12-08 09:01","145.55","9744"
"2020-12-08 09:02","145.5","13232"
"2020-12-08 09:03","145.75","10160"
"2020-12-08 09:04","145.65","8075"
"2020-12-08 09:05","145.25","3789"
"2020-12-08 09:06","145.55","12128"
"2020-12-08 09:07","145.5","7226"
"2020-12-08 09:08","145.25","7147"
"2020-12-08 09:09","145.25","3683"
"2020-12-08 09:10","145.3","7612"
"2020-12-08 09:11","145.3","3978"
"2020-12-08 09:12","145.25","3850"
"2020-12-08 09:13","145.3","3928"
"2020-12-08 09:14","145.55","10745"
"2020-12-08 09:15","145.8","5367"
"2020-12-08 09:16","145.85","3568"
"2020-12-08 09:17","145.6","6985"
"2020-12-08 09:18","145.85","4968"
"2020-12-08 09:19","145.7","3042"
"2020-12-08 09:20","145.9","2459"
"2020-12-08 09:21","146.2","8787"
"2020-12-08 09:22","146.2","129"
"2020-12-08 09:23","145.95","11949"
"2020-12-08 09:24","146.05","3168"
"2020-12-08 09:25","146","7029"
"2020-12-08 09:26","146","5656"
"2020-12-08 09:27","146.15","2636"
"2020-12-08 09:28","146.15","6092"
"2020-12-08 09:29","146.15","2802"
"2020-12-08 09:30","146.3","5967"
"2020-12-08 09:31","146.25","6623"
"2020-12-08 09:32","146.25","3374"
"2020-12-08 09:33","146.4","14509"
"2020-12-08 09:34","146.55","10707"
"2020-12-08 09:35","146.5","4126"
"2020-12-08 09:36","146.65","11333"
"2020-12-08 09:37","146.6","3892"
"2020-12-08 09:38","146.6","9218"
"2020-12-08 09:39","146.6","2251"
"2020-12-08 09:40","146.5","3331"
"2020-12-08 09:41","146.6","5736"
"2020-12-08 09:42","146.55","7928"
"2020-12-08 09:43","146.6","232"
"2020-12-08 09:44","146.55","218"
"2020-12-08 09:45","146.4","1206"
"2020-12-08 09:46","146.5","9337"
"2020-12-08 09:47","146.5","1940"
"2020-12-08 09:48","146.45","200"
"2020-12-08 09:49","146.4","380"
"2020-12-08 09:50","146.45","5113"
"2020-12-08 09:52","146.45","2691"
"2020-12-08 09:53","146.4","1121"
"2020-12-08 09:54","146.4","321"
"2020-12-08 09:55","146.55","8158"
"2020-12-08 09:56","146.65","564"
"2020-12-08 09:57","146.4","7933"
"2020-12-08 09:58","146.4","174"
"2020-12-08 09:59","146.4","2651"
"2020-12-08 10:00","146.45","658"
"2020-12-08 10:01","146.6","4057"
"2020-12-08 10:02","146.7","33693"
"2020-12-08 10:03","146.6","1602"
"2020-12-08 10:04","146.65","2316"
"2020-12-08 10:05","146.6","534"
"2020-12-08 10:06","146.45","7620"
"2020-12-08 10:07","146.6","5407"
"2020-12-08 10:08","146.6","3424"
"2020-12-08 10:09","146.5","23656"
"2020-12-08 10:11","146.45","6781"
"2020-12-08 10:12","146.65","2375"
"2020-12-08 10:13","146.55","3149"
"2020-12-08 10:14","146.65","3043"
"2020-12-08 10:15","146.65","1681"
"2020-12-08 10:16","146.65","1005"
"2020-12-08 10:17","146.6","3697"
"2020-12-08 10:18","146.3","2146"
"2020-12-08 10:20","146.3","1682"
"2020-12-08 10:21","146.2","1881"
"2020-12-08 10:22","146.15","369"
"2020-12-08 10:23","146.15","5404"
"2020-12-08 10:24","146.1","3000"
"2020-12-08 10:26","146.15","463"
"2020-12-08 10:27","146.3","2300"
"2020-12-08 10:28","146.3","156"
"2020-12-08 10:29","146.35","6882"
"2020-12-08 10:30","146.35","4817"
"2020-12-08 10:31","146.45","2975"
"2020-12-08 10:33","146.35","4038"
"2020-12-08 10:34","146.4","1950"
"2020-12-08 10:35","146.4","2293"
"2020-12-08 10:36","146.3","163"
"2020-12-08 10:37","146.1","7927"
"2020-12-08 10:38","146","3801"
"2020-12-08 10:39","145.95","1982"
"2020-12-08 10:40","145.95","2726"
"2020-12-08 10:41","145.85","1709"
"2020-12-08 10:42","145.8","2643"
"2020-12-08 10:43","145.75","4429"
"2020-12-08 10:44","145.85","5003"
"2020-12-08 10:45","145.85","2221"
"2020-12-08 10:46","145.9","9407"
"2020-12-08 10:47","146","5299"
"2020-12-08 10:48","145.9","2818"
"2020-12-08 10:49","145.9","935"
